Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
ACVA,20230817,RUT,2.43B,-82.00M,447.20M,2.99,3.73,-,-,2000,Yes,Yes,-,-,-,5.43,5.07,4.06,-,2.20,2.20,0.22,0.22,-0.52,62.00%,-0.15,-4.30%,0.80%,-,-,7.90%,37.50%,Aug 07 AMC,1.00%,-82.95%,94.50%,4.15%,-8.80%,-16.90%,-18.90%,47.50%,-20.80%,-18.30%,-,159.46M,127.08M,6.17% / 5.36,7.85M,21.25,6.51 - 18.68,-18.79%,133.03%,35.21,0.72,1.46M,-4.11%,-12.82%,-10.02%,34.01%,72.19%,84.77%,1.39,0.70,3.25% 4.27%,15.16,15.17
ACXP,20230817,-,24.27M,-12.30M,-,0.46,0.56,-,-,4,Yes,Yes,-,-,-,-,4.11,3.37,-,3.60,3.60,0.00,0.00,-1.10,-18.50%,-0.27,25.10%,-,-,-,-,4.40%,Aug 14 BMO,18.70%,0.00%,13.20%,227.91%,-133.40%,-158.10%,-,-,-,-,-,11.64M,10.48M,0.18% / 0.64,0.02M,13.33,1.53 - 4.61,-59.00%,23.53%,45.37,1.10,29.64K,4.42%,-12.50%,-39.81%,-46.15%,-57.34%,-52.51%,-0.92,0.19,12.55% 10.21%,1.73,1.89
ADAG,20230817,-,55.11M,-80.00M,9.30M,1.93,3.44,-,-,248,No,Yes,-,-,-,5.93,0.68,0.38,-,2.70,2.70,0.33,0.17,-1.84,-9.70%,-0.38,-1.00%,-,-,-,-39.10%,19.20%,-,10.59%,0.00%,13.70%,-21.53%,-43.30%,-59.40%,-76.20%,-,-,-,-,42.99M,30.18M,0.07% / 0.75,0.02M,12.53,0.90 - 2.10,-37.20%,46.52%,46.05,0.10,26.18K,3.02%,-0.10%,-2.32%,-30.04%,-3.74%,-0.48%,0.17,0.08,4.18% 4.56%,1.32,1.32
ADAP,20230817,-,186.87M,-91.00M,70.80M,0.69,0.90,-,-,534,Yes,Yes,-,-,-,2.64,1.19,0.91,-,3.40,3.40,0.00,0.00,-0.54,-50.00%,-0.15,-1.20%,1.00%,-5.20%,-6.40%,-7.30%,58.30%,Aug 09 BMO,0.30%,-7.16%,70.30%,-0.57%,-28.20%,-89.70%,-203.30%,-,-,-,-,226.17M,225.49M,2.55% / 6.36,5.74M,5.33,0.77 - 2.65,-68.89%,7.06%,41.64,0.49,902.64K,1.15%,-20.73%,-38.48%,-50.04%,-63.03%,-43.53%,2.23,0.05,5.11% 6.04%,0.78,0.82
ADBE,20230817,"NDX, S&P 500",236.61B,4.85B,18.43B,32.40,14.27,-,-,29239,Yes,Yes,48.86,28.75,3.47,12.84,15.79,35.84,31.87,1.20,1.20,0.24,0.24,10.47,13.13%,3.98,0.70%,14.07%,24.50%,19.20%,9.80%,13.30%,Jun 15 AMC,0.29%,-3.68%,84.10%,-0.71%,17.90%,33.80%,26.70%,87.80%,33.60%,26.30%,0.00%,458.00M,454.46M,0.94% / 1.12,4.26M,553.86,274.73 - 552.94,-7.46%,86.24%,48.84,0.65,3.80M,-0.81%,-2.94%,43.47%,36.10%,14.32%,52.04%,1.34,12.69,2.20% 2.21%,514.49,511.67
ADEA,20230817,RUT,1.07B,99.30M,393.10M,3.03,0.79,0.20,1.99%,130,Yes,Yes,10.79,6.65,0.72,2.73,3.32,12.71,-,-,2.30,1.94,1.83,0.93,12.64%,0.28,371.20%,15.00%,24.90%,3.30%,-22.80%,-91.80%,Aug 07 AMC,1.50%,0.00%,94.50%,0.63%,-,-,17.70%,92.00%,-,-,14.75%,106.46M,104.90M,1.66% / 2.81,1.74M,15.67,3.73 - 12.37,-18.59%,170.21%,34.12,0.74,618.43K,-0.54%,-14.52%,8.40%,-9.44%,128.66%,6.22%,1.84,0.37,2.43% 3.10%,10.15,10.07
ADIL,20230817,-,3.92M,-12.70M,-,1.36,1.92,-,-,16,Yes,Yes,-,-,-,-,2.40,1.70,-,1.60,1.60,0.00,0.00,-0.49,-21.80%,-1.50,51.30%,-,-23.90%,-,-,12.60%,May 12 BMO,4.10%,0.00%,7.20%,-,-179.90%,-281.50%,-,-,-,-,-,1.20M,1.01M,3.31% / 0.27,0.03M,150.00,3.50 - 15.25,-78.56%,-6.69%,28.33,0.46,122.06K,-31.59%,-54.25%,-60.84%,-64.74%,-77.18%,-39.16%,1.11,0.91,16.92% 15.40%,3.65,3.27
ADN,20230817,-,29.07M,-82.20M,7.60M,1.06,0.38,-,-,175,Yes,Yes,-,-,-,3.83,0.54,1.49,-,1.60,2.60,0.00,0.00,-1.59,87.00%,-0.03,-222.00%,-,-,-,-23.10%,-188.40%,Aug 11 BMO,13.80%,0.00%,24.70%,-5.02%,-68.30%,-86.20%,-130.20%,-13.10%,-,-,-,52.90M,37.16M,4.89% / 2.85,1.82M,9.35,0.55 - 4.26,-86.59%,3.85%,30.14,1.87,637.13K,-24.05%,-38.58%,-31.06%,-71.01%,-81.63%,-68.44%,-0.03,0.08,14.13% 9.57%,0.62,0.57
ADNT,20230817,RUT,3.78B,115.00M,15.32B,23.10,9.05,-,-,75000,Yes,Yes,31.17,10.22,-,0.25,1.63,4.17,10.09,0.90,1.20,1.17,1.16,1.21,71.01%,0.52,-110.90%,-,-16.40%,-2.70%,16.40%,343.10%,Aug 02 BMO,1.20%,-2.01%,97.50%,-3.94%,1.20%,5.30%,0.80%,7.00%,2.80%,0.80%,0.00%,94.10M,92.20M,2.31% / 2.54,2.13M,47.86,27.74 - 47.50,-20.59%,35.98%,32.03,0.96,841.47K,-10.47%,-10.51%,5.25%,-14.35%,-2.46%,8.73%,2.81,1.34,3.89% 3.14%,38.20,37.72
ADPT,20230817,RUT,902.09M,-190.90M,189.60M,2.74,2.83,-,-,790,Yes,Yes,-,-,-,4.76,2.23,2.16,-,4.80,5.00,0.32,0.32,-1.33,17.90%,-0.32,4.90%,21.60%,-31.30%,37.00%,11.90%,9.40%,Aug 02 AMC,0.20%,-55.55%,89.30%,-3.04%,-23.20%,-43.10%,-43.10%,64.10%,-,-,-,144.40M,141.71M,6.74% / 8.57,9.55M,11.88,5.96 - 11.84,-48.31%,2.68%,32.85,1.07,1.11M,-4.67%,-21.03%,-2.08%,-38.98%,-48.57%,-19.90%,1.24,0.38,4.53% 5.30%,6.22,6.12
ADT,20230817,-,5.92B,-37.10M,6.46B,3.64,0.16,0.14,2.23%,22000,Yes,Yes,-,12.15,-,0.92,1.72,40.43,12.39,0.50,0.70,2.91,2.66,-0.09,26.47%,0.09,133.10%,3.90%,-20.00%,8.20%,-0.50%,-6.40%,Aug 08 BMO,0.80%,3.29%,90.70%,-0.66%,-0.20%,-1.10%,3.50%,68.70%,5.20%,-0.60%,96.36%,912.33M,850.97M,1.95% / 5.81,16.62M,9.38,4.89 - 10.10,-37.89%,28.22%,47.04,0.60,2.86M,-6.56%,-1.26%,4.50%,-25.00%,-23.63%,-30.87%,1.70,0.23,3.22% 3.28%,6.43,6.27
ADTH,20230817,-,120.81M,16.20M,159.60M,1.84,0.83,-,-,297,No,Yes,7.97,22.83,-,0.76,0.74,1.65,12.58,7.30,7.30,0.00,0.00,0.17,-23.08%,0.00,3.60%,-12.90%,-,-,-11.50%,-85.90%,Aug 03 AMC,12.09%,0.00%,77.30%,0.40%,8.80%,10.50%,1.40%,47.40%,-0.10%,10.10%,0.00%,87.87M,77.59M,1.02% / 1.97,0.79M,3.95,1.15 - 3.54,-61.30%,19.13%,38.65,0.13,399.38K,-4.20%,-8.05%,-0.72%,-22.60%,-49.45%,-17.47%,0.96,0.09,4.30% 5.41%,1.38,1.37
ADTN,20230817,RUT,610.69M,-35.40M,1.19B,10.47,1.84,0.36,4.41%,3307,Yes,Yes,-,13.44,-,0.51,0.78,4.44,-,0.90,1.70,0.23,0.00,-0.47,850.00%,-0.07,81.60%,2.30%,-15.40%,9.00%,109.60%,-,Aug 07 BMO,2.10%,0.00%,90.50%,46.58%,-0.10%,-0.30%,-1.00%,30.20%,-6.10%,-0.20%,-,78.36M,77.42M,3.59% / 2.85,2.78M,11.00,7.00 - 25.47,-67.96%,16.57%,35.54,0.77,975.73K,6.67%,-20.16%,-6.21%,-53.34%,-67.14%,-56.57%,1.42,0.43,4.72% 4.14%,8.09,8.16
ADTX,20230817,-,2.92M,-27.60M,0.90M,0.01,0.04,-,-,61,No,Yes,-,-,-,3.25,39.95,9.75,-,0.20,0.30,14.00,0.00,-14.96,-109.50%,-2.89,-513.70%,-,-68.40%,-,0.00%,80.70%,-,0.76%,0.00%,16.30%,131.16%,-228.40%,-570.60%,-455.00%,19.60%,-,-,-,6.92M,5.83M,1.94% / 1.29,0.11M,4.00,0.28 - 28.49,-98.60%,40.18%,52.41,154.30,87.59K,16.73%,-6.72%,-29.71%,-69.27%,-95.30%,-65.40%,1.43,0.04,21.17% 9.34%,0.30,0.40
ADUS,20230817,RUT,1.45B,53.80M,999.10M,41.64,5.22,-,-,6284,Yes,Yes,27.22,19.05,1.81,1.45,2.16,17.26,15.38,1.60,1.60,0.12,0.12,3.31,10.70%,1.08,1.30%,15.00%,22.90%,17.40%,9.80%,30.80%,Jul 31 AMC,1.30%,-21.87%,101.65%,2.42%,5.80%,8.40%,7.10%,31.80%,7.90%,5.40%,0.00%,16.00M,15.91M,1.86% / 2.39,0.30M,113.33,77.30 - 114.99,-21.64%,16.57%,41.71,0.66,123.77K,-4.08%,-2.15%,2.39%,-14.98%,-5.99%,-9.43%,0.84,2.37,2.84% 2.49%,93.41,90.11
ADV,20230817,RUT,798.22M,-1447.10M,4.15B,3.37,0.55,-,-,22000,Yes,Yes,-,4.63,-,0.19,0.79,4.85,5.03,1.90,1.90,1.82,1.80,-4.53,25.43%,0.13,-29.20%,0.12%,-41.00%,10.90%,5.70%,-356.00%,Aug 04 BMO,0.20%,333.86%,26.90%,-7.93%,-31.80%,-100.10%,-40.90%,13.30%,-35.60%,-35.20%,-,324.18M,100.25M,4.54% / 9.77,4.55M,3.43,1.13 - 4.41,-39.46%,136.28%,55.66,0.53,465.40K,3.89%,7.66%,50.85%,0.38%,-39.32%,28.37%,1.56,0.14,6.29% 5.44%,2.77,2.67
ADVM,20230817,-,154.88M,-145.70M,3.60M,1.57,1.69,-,-,123,Yes,Yes,-,-,-,43.02,1.01,0.94,-,3.60,3.60,0.00,0.00,-1.46,24.40%,-0.29,-4.90%,-,-8.10%,-,-,24.70%,Aug 10 AMC,1.20%,3.37%,64.50%,0.60%,-47.90%,-78.10%,-,-,-,-,-,100.30M,96.90M,0.98% / 1.70,0.95M,4.25,0.53 - 2.34,-32.05%,199.44%,38.27,0.57,559.26K,-13.11%,-31.76%,101.14%,155.50%,13.57%,174.37%,0.83,0.16,7.77% 10.16%,1.71,1.59
AE,20230817,-,88.65M,-6.30M,2.88B,36.60,3.60,0.96,2.71%,882,No,Yes,-,36.75,-,0.03,0.97,9.85,3.45,1.00,1.10,0.55,0.45,-2.33,739.13%,0.83,-69.00%,-,18.80%,20.60%,-37.00%,-43.10%,Aug 09 AMC,0.90%,11.52%,67.20%,-3.00%,-1.60%,-5.60%,2.90%,1.30%,-0.20%,-0.20%,107.43%,2.51M,2.48M,0.60% / 2.29,0.01M,48.38,27.40 - 61.84,-42.66%,29.42%,60.67,1.28,6.52K,2.90%,6.14%,2.28%,-39.65%,21.19%,-8.89%,0.84,0.72,1.69% 1.60%,35.03,35.46
AEHR,20230817,RUT,1.21B,14.60M,65.00M,2.46,1.42,-,-,91,Yes,Yes,80.42,26.77,4.02,18.54,16.22,28.16,1004.23,5.90,8.20,0.00,0.00,0.50,43.27%,0.16,493.80%,20.00%,24.40%,21.90%,12.40%,80.90%,Jul 13 AMC,4.90%,-28.49%,44.30%,33.51%,17.90%,21.70%,18.40%,50.40%,18.60%,19.00%,0.00%,27.89M,26.32M,19.27% / 4.17,5.07M,60.00,13.00 - 54.10,-26.27%,206.85%,35.06,1.03,1.22M,-18.11%,-19.40%,33.14%,13.65%,131.25%,98.46%,2.07,3.04,5.96% 6.30%,42.10,39.89
AEI,20230817,-,12.57M,-37.90M,3.50M,16.35,9.52,-,-,48,No,Yes,-,-,-,3.59,0.08,0.14,-,18.20,18.20,0.00,0.00,-5.29,-,-,91.60%,-,9.20%,29.40%,-55.00%,65.00%,-,51.20%,4.83%,3.40%,-,-23.30%,-26.00%,-5.10%,4.30%,-,-,-,8.45M,4.28M,0.11% / 0.12,0.00M,2.02,1.27 - 6.99,-81.12%,3.94%,29.35,0.13,41.83K,-10.81%,-31.61%,-5.71%,-33.67%,-81.55%,-42.61%,1.09,0.09,6.22% 5.77%,1.32,1.32
AEIS,20230817,RUT,4.21B,179.40M,1.85B,29.95,11.90,0.40,0.36%,12000,Yes,Yes,23.09,18.33,2.31,2.28,3.67,9.24,34.64,2.50,3.80,0.32,0.31,4.76,27.78%,1.14,52.40%,10.00%,0.60%,22.40%,-5.80%,-38.90%,Aug 03 AMC,0.10%,-26.67%,102.01%,0.26%,8.90%,16.50%,14.00%,36.30%,11.60%,9.50%,6.40%,37.57M,37.27M,4.74% / 8.55,1.76M,124.43,68.00 - 126.38,-13.06%,61.59%,40.19,0.52,206.51K,-3.35%,-8.14%,21.27%,11.69%,13.96%,28.10%,1.59,3.58,3.17% 2.93%,111.75,109.88
AEL,20230817,RUT,4.09B,449.80M,2.62B,33.07,64.53,0.36,0.68%,840,Yes,Yes,9.73,7.59,0.36,1.56,1.60,0.82,0.83,-,-,0.34,0.34,5.42,4.98%,1.72,182.40%,26.81%,40.70%,-18.40%,136.60%,-45.80%,Aug 07 AMC,1.60%,-1.13%,99.80%,-5.08%,0.60%,16.80%,-34.00%,-,46.20%,17.20%,6.50%,77.77M,76.62M,1.93% / 1.80,1.48M,54.83,28.05 - 54.30,-2.76%,88.23%,53.24,0.49,821.56K,-0.99%,-1.44%,36.29%,10.99%,30.24%,15.74%,0.95,0.56,0.87% 0.84%,53.23,52.80
AER,20230817,-,14.21B,1.86B,6.89B,70.52,4.92,-,-,641,Yes,Yes,7.80,6.17,1.53,2.06,0.86,12.31,1204.02,-,-,2.84,2.84,7.77,1.36%,2.37,-145.00%,5.10%,-19.70%,7.10%,7.50%,50.90%,Jul 31 BMO,2.70%,0.00%,98.09%,-0.69%,2.70%,11.60%,0.90%,87.30%,45.70%,27.00%,0.00%,231.32M,226.09M,0.81% / 1.89,1.83M,79.88,39.73 - 69.50,-12.76%,52.61%,37.01,0.56,966.61K,-3.94%,-8.07%,2.24%,-3.69%,19.82%,3.96%,1.98,1.47,1.88% 2.50%,61.50,60.63
AFBI,20230817,-,90.08M,6.90M,37.20M,17.93,24.45,-,-,89,No,Yes,13.60,-,-,2.42,0.78,0.57,14.53,-,-,0.00,0.00,1.03,-,-,-3.20%,-,42.30%,21.60%,10.80%,-0.60%,Jul 27 AMC,2.30%,75.65%,15.30%,2.93%,0.90%,6.10%,22.90%,-,78.40%,19.20%,0.00%,6.60M,4.57M,0.07% / 0.61,0.00M,-,11.29 - 16.50,-15.09%,24.09%,56.58,0.15,5.60K,0.79%,9.88%,14.13%,-6.60%,-7.22%,-7.22%,0.38,0.41,2.01% 2.48%,14.27,14.01
AFCG,20230817,RUT,258.37M,36.60M,70.80M,16.75,3.93,1.92,15.51%,-,Yes,Yes,6.87,5.81,-,3.65,0.74,3.15,10.09,-,-,0.26,0.26,1.80,2.70%,0.50,18.40%,-,-,-,-19.10%,4.20%,Aug 08 BMO,16.50%,18.52%,37.90%,-6.91%,7.70%,10.70%,11.60%,79.20%,70.80%,51.70%,119.40%,20.32M,16.12M,4.59% / 4.79,0.74M,17.94,9.91 - 18.83,-34.24%,24.92%,37.40,0.90,154.26K,-6.00%,-6.14%,14.74%,-22.91%,-33.94%,-21.30%,1.06,0.43,2.82% 3.46%,12.58,12.38
AFIB,20230817,-,16.82M,-15.90M,16.90M,2.10,2.28,-,-,225,Yes,Yes,-,-,-,1.00,0.26,0.24,-,5.10,5.90,0.60,0.57,-0.56,25.40%,-0.60,65.90%,-,-,-,13.50%,60.10%,Aug 07 AMC,1.90%,0.00%,42.30%,-6.27%,-31.50%,-58.70%,-31.80%,-88.50%,-,-,-,28.76M,27.74M,0.77% / 2.38,0.21M,1.62,0.58 - 1.96,-71.83%,-5.20%,22.68,0.83,89.88K,-12.37%,-28.73%,-35.80%,-64.15%,-61.92%,-51.99%,0.85,0.06,9.92% 8.92%,0.59,0.55
AFMD,20230817,-,75.02M,-111.20M,41.60M,0.92,1.16,-,-,219,Yes,Yes,-,-,-,1.80,0.55,0.44,-,5.20,5.20,0.13,0.08,-0.75,18.40%,-0.18,-25.50%,-,2.60%,83.10%,-43.80%,-58.60%,Aug 10 BMO,4.71%,0.00%,66.20%,-3.30%,-39.70%,-52.80%,-51.50%,-,-,-,-,149.34M,142.31M,2.01% / 2.65,2.87M,6.00,0.45 - 3.24,-84.28%,13.13%,35.61,0.27,1.08M,-6.16%,-18.74%,-44.66%,-51.89%,-84.36%,-58.87%,2.10,0.05,8.61% 9.71%,0.53,0.51
AFRM,20230817,-,4.16B,-965.80M,1.29B,8.45,3.33,-,-,2552,Yes,Yes,-,-,-,3.21,1.68,4.28,-,-,-,1.88,1.88,-3.30,16.10%,-0.85,9.80%,-,-,-,15.20%,-261.60%,Aug 24 AMC,0.30%,-21.38%,83.60%,5.17%,-13.10%,-37.90%,-12.80%,-,-95.30%,-74.60%,-,297.20M,223.25M,15.87% / 2.27,35.44M,14.54,8.62 - 38.73,-63.28%,64.97%,37.40,0.47,15.61M,-5.14%,-19.43%,8.05%,-3.27%,-64.37%,47.05%,3.18,1.09,3.77% 6.75%,14.37,14.22
AFYA,20230817,-,1.39B,72.80M,505.40M,7.54,1.55,-,-,8708,Yes,Yes,18.12,1.90,3.01,2.74,1.93,9.39,-,1.10,1.10,0.86,0.77,0.80,24.15%,1.41,73.60%,6.03%,20.40%,60.90%,25.40%,-12.80%,Aug 28 AMC,46.02%,0.00%,52.40%,-6.53%,5.00%,11.20%,10.60%,62.80%,28.00%,14.40%,0.00%,89.94M,25.86M,2.80% / 3.36,0.72M,18.25,9.66 - 17.02,-14.39%,50.83%,40.89,0.85,215.47K,-6.12%,-7.26%,28.82%,6.27%,15.73%,-6.72%,0.93,0.47,2.98% 2.76%,14.65,14.57
AGAE,20230817,-,31.99M,-9.00M,5.10M,2.23,2.20,-,-,78,No,Yes,-,-,-,6.27,0.40,0.41,-,16.50,16.50,0.00,0.00,-0.23,-,-,28.30%,-,-,-,-50.00%,48.00%,Aug 10 AMC,66.30%,0.00%,20.70%,-5.97%,-11.20%,-12.20%,-,29.40%,-,-,-,37.92M,12.61M,1.28% / 3.68,0.16M,-,0.88 - 1.59,-43.40%,2.27%,36.97,2.70,43.98K,-6.34%,-4.26%,-12.62%,-35.63%,-41.56%,-14.29%,1.14,0.05,6.47% 5.08%,0.99,0.90
AGBA,20230817,-,52.69M,-56.10M,40.10M,0.05,0.06,-,-,152,No,Yes,-,-,-,1.31,16.49,14.24,-,0.60,0.60,2.17,0.00,-0.98,-,-,-148.00%,-,-,-,226.50%,-356.90%,May 15 BMO,91.30%,0.00%,3.70%,0.55%,-,-,-327.30%,36.60%,-,-,-,62.85M,6.51M,1.40% / 0.16,0.09M,-,0.77 - 11.81,-93.02%,7.06%,31.27,0.58,556.71K,-6.85%,-37.07%,-49.11%,-63.84%,-92.70%,-46.47%,-,0.11,14.74% 9.37%,0.86,0.82
AGEN,20230817,RUT,450.27M,-262.80M,99.40M,-0.27,0.46,-,-,533,Yes,Yes,-,-,-,4.53,-,2.85,-,0.80,0.80,-,-,-0.83,-2.90%,-0.20,-641.50%,-,8.60%,18.00%,21.10%,-17.10%,Aug 08 BMO,7.45%,0.00%,59.60%,9.19%,-64.10%,450.40%,650.10%,89.40%,-,-,-,351.38M,322.90M,5.99% / 3.88,19.33M,8.07,1.18 - 3.31,-60.08%,11.86%,38.85,1.14,4.98M,0.00%,-22.35%,-10.20%,-37.72%,-54.86%,-43.95%,1.43,0.09,6.90% 6.12%,1.26,1.32
AGFY,20230817,-,3.77M,-161.80M,77.60M,13.12,1.51,-,-,136,No,Yes,-,-,-,0.05,0.17,1.45,-,0.50,1.50,0.89,0.87,-62.06,-,-,-59.70%,20.00%,-,-,-55.70%,-269.90%,-,8.04%,0.00%,6.20%,-72.13%,-88.90%,-154.20%,-23.40%,9.40%,-,-,-,2.67M,1.49M,2.29% / 0.73,0.03M,240.00,2.30 - 416.00,-99.47%,-4.78%,32.70,0.76,46.73K,-18.59%,-21.79%,-45.25%,-74.12%,-99.21%,-67.12%,1.97,0.30,11.67% 11.29%,2.39,2.19
AGI,20230817,-,5.90B,218.80M,1.29B,9.70,0.53,0.13,1.19%,1919,Yes,Yes,20.25,19.72,-,4.58,1.15,21.07,25.32,1.30,2.50,0.00,0.00,0.55,9.28%,0.12,155.40%,-13.89%,1.80%,8.60%,36.50%,1073.40%,Jul 26 AMC,0.28%,0.00%,67.61%,-,4.40%,5.90%,1.70%,54.60%,26.60%,17.00%,18.10%,395.35M,394.90M,1.42% / 2.33,5.62M,13.31,6.35 - 14.12,-21.10%,75.43%,33.07,0.75,2.41M,-4.05%,-13.37%,-13.37%,7.53%,40.48%,10.19%,1.12,0.31,2.24% 2.52%,11.30,11.14
AGIL,20230817,-,29.38M,-51.90M,174.50M,0.93,0.06,-,-,2255,No,Yes,-,-,-,0.17,0.62,10.13,-,0.40,0.40,1.93,0.01,-1.10,91.00%,-0.09,18.60%,-,-,-,-5.40%,-483.10%,Aug 14 AMC,6.90%,0.00%,52.50%,1.65%,-24.50%,-73.10%,-4.50%,33.30%,-22.00%,-29.70%,-,47.33M,41.48M,0.56% / 1.66,0.23M,2.12,0.50 - 4.80,-87.93%,15.92%,35.12,0.70,140.09K,-17.20%,-21.65%,-31.80%,-86.43%,-87.43%,-86.20%,-0.12,0.10,12.90% 16.70%,0.56,0.58
AGIO,20230817,RUT,1.45B,-210.00M,20.10M,17.34,12.54,-,-,389,Yes,Yes,-,-,-,72.37,1.50,2.07,-,13.40,13.70,0.00,0.00,-3.80,19.30%,-1.70,28.30%,39.00%,8.90%,-19.80%,19.60%,10.00%,Aug 03 BMO,1.41%,-15.51%,105.91%,-3.07%,-18.00%,-20.20%,-22.80%,87.10%,-,-,-,55.60M,54.93M,11.02% / 14.42,6.05M,38.83,21.07 - 34.76,-25.29%,23.26%,45.22,0.71,419.51K,-3.06%,-1.89%,-0.04%,-6.28%,-5.25%,-7.51%,0.94,1.01,4.31% 3.66%,26.70,25.97
AGL,20230817,-,7.37B,-87.60M,3.67B,2.14,1.40,-,-,747,Yes,Yes,-,257.68,-,2.01,8.31,12.70,-,1.50,1.50,0.05,0.04,-0.21,150.00%,-0.05,75.90%,-,-,-,71.50%,20.70%,Aug 03 AMC,0.10%,-99.56%,108.48%,1.84%,-4.30%,-8.60%,-11.80%,12.00%,-3.30%,-2.40%,-,410.34M,300.85M,12.66% / 12.02,38.08M,29.29,15.00 - 29.44,-39.61%,18.53%,41.53,0.66,3.17M,-7.01%,-2.04%,-23.06%,-24.66%,-20.62%,10.16%,1.00,0.86,3.90% 4.55%,17.85,17.78
AGLE,20230817,-,39.21M,-77.80M,1.20M,0.36,0.47,-,-,61,Yes,Yes,-,-,-,32.67,1.32,1.02,-,3.50,3.50,0.00,0.00,-0.86,54.20%,-0.02,0.60%,-,11.20%,-14.90%,-85.70%,47.20%,Aug 11 BMO,0.20%,0.00%,78.80%,-6.75%,-104.20%,-142.30%,-168.30%,-,-,-,-,94.26M,76.53M,2.79% / 0.33,2.13M,1.42,0.11 - 1.56,-69.42%,348.31%,47.26,0.01,6.48M,-9.11%,-25.47%,218.00%,0.42%,-9.92%,6.02%,2.56,0.05,7.58% 9.27%,0.46,0.48
AGMH,20230817,-,41.94M,-,-,-,-,-,-,22,No,Yes,2.11,-,-,-,-,-,-,-,-,-,-,0.81,-,-,-,-,-,-,-,-,-,29.27%,0.00%,0.10%,-,-,-,-,-,-,-,0.00%,24.25M,17.15M,0.04% / 1.42,0.01M,-,1.44 - 2.46,-30.49%,18.74%,47.39,0.00,4.39K,1.79%,-2.29%,-17.40%,1.18%,-11.40%,3.64%,1.20,0.10,1.90% 3.96%,1.68,1.71
AGNC,20230817,-,5.80B,-86.00M,1.60B,10.43,1.17,1.44,15.24%,51,Yes,Yes,-,4.43,-,3.62,0.91,8.10,20.36,-,-,6.75,0.01,-0.26,-16.67%,0.60,-296.90%,-1.81%,-26.00%,-,-,148.70%,Jul 24 AMC,0.59%,-12.93%,43.50%,4.41%,-0.10%,-1.40%,-,6.70%,-,-5.40%,-,606.08M,602.79M,4.27% / 2.48,25.73M,10.53,7.30 - 12.79,-26.11%,29.45%,34.04,1.12,10.37M,-5.31%,-8.34%,2.83%,-17.68%,-26.17%,-8.70%,1.23,0.20,1.79% 2.01%,9.55,9.45
AGO,20230817,-,3.48B,139.00M,649.00M,89.12,1.92,1.12,1.91%,411,Yes,Yes,24.93,11.70,8.31,5.36,0.66,30.54,-,-,-,0.32,0.32,2.35,23.86%,1.05,-62.30%,3.00%,-21.10%,-18.00%,276.10%,382.30%,Aug 08 AMC,2.40%,0.00%,93.60%,-4.18%,1.90%,6.10%,4.00%,-,56.70%,47.90%,20.30%,59.20M,56.03M,1.43% / 3.37,0.80M,74.50,45.21 - 67.13,-12.78%,29.51%,44.54,0.65,237.63K,-2.92%,-1.43%,11.80%,-6.44%,6.09%,-5.96%,1.10,1.28,1.69% 1.96%,58.80,58.55
AGR,20230817,-,13.00B,582.00M,8.05B,50.36,0.15,1.76,5.13%,7579,Yes,Yes,22.83,14.62,-,1.62,0.68,224.22,-,0.50,0.60,0.53,0.43,1.50,10.70%,0.38,15.40%,-1.40%,67.80%,5.80%,-11.50%,-53.80%,Jul 26 AMC,81.69%,0.00%,13.20%,-2.79%,1.40%,3.00%,2.90%,67.20%,8.90%,7.20%,117.00%,386.75M,70.84M,6.73% / 7.12,4.77M,41.67,34.04 - 51.71,-33.63%,0.82%,33.95,0.87,669.54K,-1.32%,-9.37%,-11.50%,-16.54%,-33.53%,-20.15%,0.45,0.73,2.08% 2.00%,34.47,34.32
AGRI,20230817,-,4.44M,-11.30M,-,0.29,0.03,-,-,15,Yes,Yes,-,0.49,-,-,0.42,4.44,-,0.20,0.20,0.71,0.00,-0.58,-,-,-7.70%,-,-,-,-,-,-,27.67%,-6.99%,8.20%,1.06%,-,-,-,-,-,-,-,38.14M,33.12M,0.25% / 0.02,0.08M,3.75,0.11 - 2.10,-94.14%,11.82%,39.26,0.85,4.02M,-1.60%,-16.33%,-72.91%,-89.40%,-93.13%,-89.12%,0.96,0.02,10.26% 17.58%,0.12,0.12
